FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,6001.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,6101.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,6201.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,6301.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,6401.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,6501.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,6601.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,6701.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,6801.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,6901.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,7001.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,7101.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,7201.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,7301.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,7401.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,7501.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,7601.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,7701.0,342188.0,
