RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabK,xER,xPM,
1.295E7,4670000.0,4423000.0,9755000.0,1214000.0,222300.0,735100.0,1477000.0,3029000.0,0.0,6.001E7,6.003E7,
1.291E7,4659000.0,4431000.0,9739000.0,1200000.0,222300.0,739900.0,1545000.0,2956000.0,0.0,6.001E7,6.007E7,
1.284E7,4655000.0,4433000.0,9706000.0,1200000.0,228300.0,733900.0,1562000.0,2916000.0,0.0,6.001E7,6.013E7,
1.291E7,4681000.0,4441000.0,9732000.0,1185000.0,228300.0,751600.0,1545000.0,2937000.0,0.0,6.001E7,5.998E7,
1.286E7,4686000.0,4443000.0,9734000.0,1185000.0,228200.0,766100.0,1553000.0,2914000.0,0.0,6.001E7,6.0E7,
1.284E7,4678000.0,4450000.0,9719000.0,1191000.0,222400.0,774100.0,1577000.0,2900000.0,0.0,6.001E7,6.002E7,
1.28E7,4685000.0,4454000.0,9761000.0,1191000.0,222400.0,774100.0,1588000.0,2904000.0,0.0,6.001E7,5.999E7,
1.273E7,4683000.0,4424000.0,9796000.0,1173000.0,222400.0,774100.0,1607000.0,2885000.0,0.0,6.001E7,6.007E7,
1.266E7,4701000.0,4405000.0,9806000.0,1173000.0,222400.0,774000.0,1617000.0,2875000.0,0.0,6.001E7,6.012E7,
1.271E7,4711000.0,4409000.0,9809000.0,1179000.0,216300.0,780100.0,1611000.0,3027000.0,0.0,6.001E7,6.002E7,
1.268E7,4724000.0,4412000.0,9832000.0,1171000.0,220200.0,776100.0,1621000.0,3108000.0,0.0,6.001E7,6.0E7,
1.265E7,4726000.0,4414000.0,9848000.0,1171000.0,224000.0,772200.0,1627000.0,3117000.0,0.0,6.001E7,5.997E7,
1.257E7,4744000.0,4419000.0,9878000.0,1171000.0,234100.0,762100.0,1638000.0,3106000.0,0.0,6.001E7,5.999E7,
1.249E7,4730000.0,4415000.0,9930000.0,1177000.0,228000.0,774200.0,1653000.0,3079000.0,0.0,6.001E7,6.0E7,
1.241E7,4724000.0,4421000.0,9949000.0,1177000.0,228000.0,774200.0,1664000.0,3068000.0,0.0,6.001E7,6.004E7,
1.226E7,4747000.0,4427000.0,1.001E7,1177000.0,232900.0,779100.0,1660000.0,3062000.0,0.0,6.001E7,6.008E7,
1.226E7,4766000.0,4424000.0,1.005E7,1177000.0,232800.0,778900.0,1670000.0,3218000.0,0.0,6.001E7,6.0E7,
1.214E7,4759000.0,4428000.0,1.012E7,1177000.0,232700.0,784900.0,1689000.0,3193000.0,0.0,6.001E7,6.0E7,
1.202E7,4772000.0,4430000.0,1.016E7,1164000.0,232700.0,791000.0,1689000.0,3187000.0,0.0,6.001E7,6.005E7,
1.194E7,4777000.0,4436000.0,1.018E7,1164000.0,232600.0,811900.0,1679000.0,3176000.0,0.0,6.001E7,6.009E7,
1.195E7,4815000.0,4439000.0,1.021E7,1164000.0,236400.0,808100.0,1729000.0,3230000.0,0.0,6.001E7,5.997E7,
1.19E7,4828000.0,4440000.0,1.023E7,1164000.0,248500.0,800800.0,1724000.0,3352000.0,0.0,6.001E7,5.998E7,
1.178E7,4879000.0,4442000.0,1.028E7,1164000.0,248500.0,806800.0,1740000.0,3356000.0,0.0,6.001E7,5.999E7,
1.171E7,4895000.0,4436000.0,1.028E7,1169000.0,248400.0,801900.0,1764000.0,3332000.0,0.0,6.001E7,6.002E7,
1.162E7,4918000.0,4439000.0,1.03E7,1169000.0,248400.0,812000.0,1784000.0,3355000.0,0.0,6.001E7,6.004E7,
1.156E7,4918000.0,4446000.0,1.033E7,1177000.0,240300.0,812000.0,1807000.0,3332000.0,0.0,6.001E7,6.005E7,
1.146E7,4935000.0,4453000.0,1.036E7,1182000.0,262000.0,785500.0,1807000.0,3316000.0,0.0,6.001E7,6.006E7,
1.14E7,4966000.0,4460000.0,1.036E7,1176000.0,267100.0,778800.0,1806000.0,3294000.0,0.0,6.001E7,6.007E7,
1.121E7,4992000.0,4462000.0,1.047E7,1176000.0,267100.0,784800.0,1934000.0,3161000.0,0.0,6.001E7,6.011E7,
1.121E7,4994000.0,4462000.0,1.057E7,1176000.0,273100.0,778700.0,1940000.0,3318000.0,0.0,6.001E7,6.0E7,
1.101E7,4981000.0,4467000.0,1.063E7,1163000.0,279500.0,777100.0,1959000.0,3261000.0,0.0,6.001E7,6.014E7,
1.091E7,4995000.0,4444000.0,1.067E7,1163000.0,285500.0,779900.0,1985000.0,3204000.0,0.0,6.001E7,6.02E7,
1.079E7,5003000.0,4436000.0,1.074E7,1163000.0,285500.0,789000.0,2000000.0,3156000.0,0.0,6.001E7,6.023E7,
1.068E7,5011000.0,4440000.0,1.076E7,1163000.0,311800.0,771600.0,2037000.0,3091000.0,0.0,6.001E7,6.027E7,
1.089E7,5030000.0,4439000.0,1.08E7,1163000.0,311800.0,771600.0,2142000.0,3156000.0,0.0,6.001E7,5.999E7,
1.083E7,5031000.0,4444000.0,1.081E7,1155000.0,317800.0,776400.0,2159000.0,3128000.0,0.0,6.001E7,6.002E7,
1.079E7,5037000.0,4449000.0,1.083E7,1134000.0,312600.0,776400.0,2170000.0,3142000.0,0.0,6.001E7,6.003E7,
1.071E7,5037000.0,4429000.0,1.087E7,1134000.0,318600.0,770400.0,2228000.0,3175000.0,0.0,6.001E7,6.008E7,
1.077E7,5024000.0,4435000.0,1.087E7,1145000.0,307900.0,770400.0,2245000.0,3218000.0,0.0,6.001E7,5.997E7,
1.07E7,5041000.0,4439000.0,1.088E7,1151000.0,309600.0,774700.0,2247000.0,3242000.0,0.0,6.001E7,6.0E7,
1.058E7,5079000.0,4446000.0,1.089E7,1155000.0,304800.0,774700.0,2265000.0,3224000.0,0.0,6.001E7,6.004E7,
1.054E7,5072000.0,4450000.0,1.091E7,1155000.0,321400.0,764200.0,2280000.0,3227000.0,0.0,6.001E7,6.002E7,
1.04E7,5071000.0,4439000.0,1.092E7,1137000.0,319900.0,782300.0,2292000.0,3198000.0,0.0,6.001E7,6.015E7,
1.033E7,5075000.0,4445000.0,1.094E7,1137000.0,319900.0,782300.0,2367000.0,3122000.0,0.0,6.001E7,6.016E7,
1.016E7,5102000.0,4444000.0,1.098E7,1148000.0,309000.0,797900.0,2398000.0,3064000.0,0.0,6.001E7,6.022E7,
1.009E7,5111000.0,4450000.0,1.098E7,1148000.0,309000.0,797900.0,2409000.0,3053000.0,0.0,6.001E7,6.027E7,
