entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabK,xER,xPM,
1.455,0.233,0.1208,0.03258,0.02681,0.03354,0.008273,0.001954,0.001459,0.004236,0.01316,0.0,0.3786,0.3786,
1.455,0.227,0.1203,0.03264,0.02682,0.0337,0.008226,0.001953,0.001458,0.004236,0.01317,0.0,0.3786,0.3789,
1.453,0.2234,0.1197,0.03248,0.02673,0.03402,0.008075,0.001943,0.001412,0.004228,0.01313,0.0,0.3787,0.3796,
1.455,0.218,0.12,0.03251,0.02671,0.03401,0.008071,0.001942,0.001411,0.004309,0.01355,0.0,0.3785,0.379,
1.474,0.3149,0.1029,0.03266,0.02673,0.05169,0.00814,0.001874,0.001449,0.004271,0.01374,0.0,0.3785,0.3781,
1.473,0.3158,0.1022,0.03276,0.02677,0.05171,0.008142,0.001874,0.001449,0.00431,0.0137,0.0,0.3786,0.3785,
1.473,0.3163,0.1017,0.03288,0.0268,0.05179,0.008144,0.001875,0.00145,0.004311,0.01371,0.0,0.3787,0.3787,
1.475,0.3181,0.1012,0.03302,0.02682,0.052,0.00818,0.001836,0.001449,0.00431,0.01407,0.0,0.3786,0.3785,
1.475,0.3215,0.1009,0.03307,0.02685,0.05211,0.00818,0.001836,0.001449,0.00431,0.01421,0.0,0.3786,0.3785,
1.474,0.3211,0.1004,0.03306,0.02682,0.05211,0.008158,0.00183,0.001442,0.004302,0.01413,0.0,0.3787,0.3791,
1.473,0.3217,0.1,0.03314,0.02683,0.05199,0.008158,0.001831,0.001442,0.00434,0.0141,0.0,0.3788,0.3794,
1.473,0.3223,0.0995,0.03316,0.02685,0.05204,0.00816,0.001831,0.001442,0.004487,0.01388,0.0,0.3788,0.3798,
1.477,0.3207,0.1004,0.03315,0.02686,0.05205,0.008056,0.001829,0.001441,0.004968,0.01427,0.0,0.3785,0.3784,
1.477,0.3221,0.1,0.0331,0.02691,0.05217,0.008057,0.001829,0.001441,0.004968,0.01428,0.0,0.3786,0.3786,
1.476,0.3111,0.09938,0.033,0.02692,0.05226,0.00797,0.00183,0.001441,0.00497,0.01428,0.0,0.3787,0.3793,
1.477,0.2983,0.09996,0.0329,0.02695,0.0524,0.007943,0.001823,0.001432,0.004959,0.01461,0.0,0.3784,0.3786,
1.479,0.2631,0.0991,0.03284,0.02696,0.05289,0.007937,0.001821,0.001431,0.004955,0.01517,0.0,0.3785,0.3784,
1.479,0.2645,0.09872,0.03295,0.02701,0.05288,0.007938,0.001821,0.001431,0.005022,0.01534,0.0,0.3785,0.3784,
1.479,0.2648,0.09831,0.03298,0.02704,0.05289,0.007861,0.001846,0.001407,0.005024,0.01534,0.0,0.3786,0.3787,
1.478,0.2669,0.09722,0.0331,0.02706,0.05321,0.00771,0.001846,0.001407,0.005133,0.01524,0.0,0.3787,0.3793,
1.481,0.2709,0.09738,0.03309,0.02709,0.05332,0.007735,0.001815,0.001406,0.005129,0.01611,0.0,0.3785,0.3784,
1.481,0.2738,0.09686,0.0331,0.02708,0.05354,0.007737,0.001815,0.001445,0.005302,0.01583,0.0,0.3786,0.3787,
1.481,0.2786,0.09613,0.03324,0.02714,0.05373,0.007739,0.001815,0.001445,0.005849,0.01528,0.0,0.3787,0.379,
1.484,0.2783,0.09618,0.03326,0.02717,0.05379,0.007734,0.001814,0.001444,0.005846,0.01608,0.0,0.3784,0.3782,
1.484,0.2796,0.09551,0.0333,0.02722,0.05403,0.007733,0.001844,0.001444,0.005815,0.01625,0.0,0.3784,0.3784,
1.484,0.2839,0.0947,0.03341,0.02727,0.0544,0.007823,0.001755,0.001444,0.005815,0.01625,0.0,0.3785,0.3786,
1.497,0.3316,0.08385,0.04402,0.02728,0.05474,0.007816,0.001754,0.001442,0.005938,0.01722,0.0,0.3781,0.3778,
1.499,0.3344,0.08346,0.04398,0.02733,0.05494,0.007813,0.001753,0.001442,0.006132,0.01753,0.0,0.378,0.3776,
1.499,0.3373,0.08256,0.04401,0.02723,0.05539,0.007788,0.001747,0.001434,0.006122,0.01794,0.0,0.378,0.3778,
1.501,0.3357,0.08209,0.04407,0.02723,0.05552,0.007813,0.001715,0.001433,0.0062,0.01863,0.0,0.3777,0.3776,
1.501,0.3343,0.08177,0.04408,0.0273,0.05555,0.007844,0.001685,0.001464,0.00637,0.01843,0.0,0.3777,0.3778,
1.501,0.3386,0.08113,0.0441,0.02733,0.05578,0.007896,0.001634,0.001464,0.006528,0.01828,0.0,0.3778,0.378,
1.502,0.3318,0.08067,0.04389,0.02735,0.05603,0.007894,0.001634,0.001463,0.006856,0.01866,0.0,0.3777,0.3778,
1.503,0.3317,0.0805,0.04383,0.02729,0.05615,0.007894,0.001633,0.001463,0.007059,0.01867,0.0,0.3777,0.3778,
1.504,0.3326,0.08032,0.04375,0.02731,0.05623,0.007892,0.001632,0.001462,0.00713,0.01914,0.0,0.3776,0.3775,
1.503,0.3366,0.07939,0.04379,0.02735,0.05652,0.007895,0.001633,0.001463,0.007171,0.01897,0.0,0.3778,0.378,
1.504,0.336,0.07936,0.04372,0.02732,0.05667,0.007895,0.001633,0.001513,0.007183,0.01908,0.0,0.3778,0.3778,
1.506,0.3362,0.07928,0.04355,0.02736,0.057,0.007893,0.001632,0.001551,0.00729,0.01949,0.0,0.3777,0.3773,
1.506,0.2988,0.07871,0.04352,0.02739,0.05719,0.007855,0.001623,0.001551,0.007562,0.01922,0.0,0.3777,0.3777,
1.505,0.305,0.07795,0.04361,0.02747,0.05751,0.007839,0.001595,0.001551,0.007647,0.01891,0.0,0.3779,0.3781,
1.504,0.3065,0.07711,0.04364,0.02752,0.05794,0.00784,0.001594,0.001589,0.00761,0.01892,0.0,0.3779,0.3783,
1.504,0.32,0.07654,0.0437,0.02754,0.05815,0.007842,0.001595,0.001666,0.007611,0.0187,0.0,0.3781,0.3785,
1.508,0.3156,0.07652,0.04388,0.02754,0.05843,0.007835,0.001593,0.001664,0.007643,0.01971,0.0,0.3777,0.3775,
1.506,0.315,0.07512,0.04405,0.02757,0.05855,0.007791,0.001594,0.001665,0.007684,0.01968,0.0,0.3778,0.3784,
1.506,0.316,0.07458,0.04411,0.02759,0.05865,0.007791,0.001594,0.001695,0.007929,0.01941,0.0,0.3779,0.3787,
1.506,0.3139,0.07435,0.04412,0.02761,0.05861,0.007792,0.001594,0.001695,0.00793,0.01941,0.0,0.3779,0.3789,
1.505,0.3165,0.07385,0.04415,0.02764,0.05884,0.007793,0.001547,0.001763,0.00804,0.01924,0.0,0.378,0.3791,
1.433,0.2563,0.05275,0.02977,0.0276,0.05888,0.007796,0.001547,0.002043,0.007891,0.01912,0.0,0.3781,0.4145,
1.433,0.2576,0.05247,0.02968,0.02762,0.05907,0.007836,0.001548,0.002005,0.008127,0.01889,0.0,0.3782,0.4145,
1.432,0.2505,0.0516,0.0297,0.02768,0.05934,0.007876,0.00151,0.002006,0.008243,0.01878,0.0,0.3783,0.4149,
1.431,0.2541,0.05105,0.02982,0.0277,0.05947,0.007878,0.00151,0.002006,0.008404,0.01851,0.0,0.3784,0.4152,
1.43,0.2552,0.05039,0.02973,0.02771,0.05981,0.007879,0.001548,0.002006,0.008691,0.01819,0.0,0.3785,0.4156,
1.43,0.2577,0.04946,0.02985,0.02772,0.06021,0.007903,0.001524,0.002209,0.008489,0.01819,0.0,0.3785,0.4159,
